ID,condition,date,drugName,rating,review,usefulCount
17,ibromyalgia,"March 15, 2017",Amitriptyline,9,"""I&#039;ve been taking amitriptyline since January 2013 after being diagnosed with fibromyalgia. I tried cymbalta for a week and my Dr decided that since it kept me awake 24/7 that it wasn&#039;t a good fit for me even though it relieved my pain. I started with 25 mg. After 2 weeks I had some breakthrough pain, so my Dr increased my dosage to 50mg and I&#039;m still on that dosage today. For the first full year I was on this I never had pain and felt &#039;cured&#039;. As time went on, it seems to help control my pain. I do still have pain, but at a low manageable level. I take this around 7pm each evening to avoid feeling overly drowsy in the mornings. This med allows me to have a fairly normal life.""",39
18,Bipolar Disorde,"November 9, 2014",Lamotrigine,10,"""I&#039;ve been on every medicine under the sun (it seems) to manage the hypomania / mania of Bipolar2. Within a few days of starting Lamictal (was on Tegretol) it was as if someone had turned a light on in my head. Is this the way &quot;normal&quot; people think? was one of the first things that struck me. I sleep like a log, have no irritability, almost no anger (other than what would be considered normal). I am able to focus and my creative, impulsive thoughts have decreased enough to be manageable. It&#039;s a God send as I would perennially be in a state of hypo mania, which sounds great, but I was physically and emotionally exhausted. My libido is markedly lower but I wonder if that is perhaps an effect of not being hypo manic. I take 20 mg for anxiety.""",18
19,Chronic Myelogenous Leukemia,"September 1, 2015",Nilotinib,10,"""I have been on Tasigna for just over 3 years now (300mg x 2 times a day) Tasigna worked for me within a few weeks I have been in remission for basically the entire 3 years. As for the side effects, I feel sick to my stomach, tired,  severe leg and arm pain, I can&#039;t walk to long without needing a break, I went from working full time to not working at all because I am so tired all the time.... but hey I am in remission and alive so is all the above really a problem? Nope""",11
20,HIV Infection,"July 9, 2010",Atripla,8,"""Spring of 2008 I was hospitalized with pnuemonia and diagnosed with Lyme diease and full blown AIDS with CD4 count of &quot;11&quot; viral load some number so high in the millions I could never remember. I was taking Combivir and Kaletra with Dapsone for the 1st year then it stopped working. I started Kaletra with the Dapsone my CD4 count is now 209 and rising. For a few weeks I was very aggressive and broke all my dishes in the house LOL. I take vitamin supplements and drink a boost pluz every day. LIfe is good now!""",11
21,Insomnia,"April 3, 2016",Trazodone,10,"""I have insomnia, it&#039;s horrible. My story begins with my PCP prescribing me Prozac to help with intestinal issues, because I was desperate I tried it, I was on it for 3 weeks. Stopped because of insomnia. Then I was prescribed Ativan, it out me out, but was very addicting. I had rebound insomnia. Then after about 14 days I hardly any sleep l tried the doctor one more time. I asked him about Trazadone. He told me that was a good medication for insomnia. He put me on 25 mgs, but stated I may have to figure out what dosage is best for me. I am currently taking 100 mgs, which is on the low range of what is prescribed, 400 mgs being at the high end for insomnia. I have the dry mouth and nasel congestion. I can live with that, I sleep now, yeah...""",43
22,Birth Control,"August 11, 2014",Etonogestrel,9,"""Nexplanon does its job. I can have worry free sex. The only thing is that my periods are sometimes light and sometimes heavy. Sometimes they go away and sometimes they show up unexpected. I also feel somewhat depressed. Not sure if its Nexplanon or not. I&#039;ve had Nexplanont for about 2 months now, but despite the side effects its the most effective birth control I&#039;ve ever used and I do not plan on taking it out.""",11
23,Rheumatoid Arthritis,"September 16, 2017",Etanercept,10,"""I live in Western Australia and disturbed by some comments on here. The cost of Embrel is cost of an ordinary prescription $36 for me the government pays the remainder of the cost to the chemist. I also go to the the medical centre every Saturday morning a Dr looks over my prescription and then he advises the nurse to administer the injection also no cost to myself and this is part of nurses duties. I am unsure of the country where people who have made comments referring to cost and that nobody is there to  administer the injection for them. I am very lucky to live in Australia as we have the best health system worldwide and everybody is  given the opportunity to receive proper medical help whether you are rich or poor there is no discrimination.""",4
24,Vaginal Yeast Infection,"April 17, 2017",Tioconazole,1,"""Do not use the cream that comes with this. It turned my hoo-ha into a burning ring of fire. It is 1 am and I have to work tomorrow. It&#039;s going to be a sleepless night for me""",7
25,Chlamydia Infection,"December 14, 2015",Azithromycin,7,"""Was prescribed one dose over the course of one day, took 4 pills of 250mg after a light lunch, and had nausea and mild stomach pains/upset. Lying down did not alleviate the discomfort and threw up 3 hours later. Called up my doctor to check if I needed to take another dose but he said my body would have absorbed the pills by then. Still experiencing mild stomach pains but nausea is mostly gone now.""",7
26,Hirsutism,"May 11, 2014",Eflornithine,10,"""I&#039;m writing a second review on Vaniqa.  I started using this in February this year. Twice a day although some days/times I do forget. I just want to say how delighted I am to have found this. It has totally and completely changed my life! I had terrible male pattern hair growth all over my cheeks, chin, upper and lower lip and starting to grow down my neck. I used to pluck for up to 2 hrs a time every 3rd day but was never hair free. I wouldn&#039;t kiss anyone hello or goodbye as even plucked the stubble could be felt under my skin. 3 months on im not scared of being caught in bright sunlight I pluck around once a fortnight and it takes around 10 mins. The hairs that are coming through are soft and downy. My life is transformed.""",99
27,ADHD,"January 12, 2017",Daytrana,10,"""Hi all, My son who is 12 was diagnosed when he was in 2nd grade. We tried everything before medication. When we tried meds, the first one made him loose weight, fast. The second gave him a nasty tic that thankfully went away as soon as he stopped the med, the third worked for a couple of years and around January of last year we started to have problems so his doctor recommended Daytrana. It has been wonderful for my son! Easy to use, he handles this for himself each day and takes it off when he gets home from school. The patch effects last long enough for him to do his homework. He does have issues with weight gain and sleep but he uses melatonin before bed if he feels like he will not be able to shut down. The shortage is KILLING us!""",11
28,Panic Disorde,"June 1, 2015",Ativan,6,"""Honestly, I have been taking ativan for 2 years now 1mg twice daily.  It does help but it should be used as a tool for panic attacks NOT A SOLUTION.  I have tried so many anti-depressants as well such as cymbalta, cipralex and a couple more.  The best thing is to talk to close friends and family or even a psychiatrist.  talking to people and venting is honestly the best thing you can do for yourself even though it takes a lot of will power to do it.  I would love to hear other people opinion.""",47
29,Migraine,"October 16, 2012",Imitrex,8,"""At first I suffered through them. This included splitting head pain, nausea, and vomiting. I started using Excedrin after a while which helped if I took it right away. Then that started to not work so well anymore. I had one really bad one that lasted hours. I was still throwing up at 9 pm and I was now throwing up blood. I went to the ER and when I finally got in they put me on an IV to hydrate me. They then added Imitrex to the bag and I soon started feeling side effects. My head felt like I was going to pass out. My breathing became labored and it felt like someone was sitting on my chest. They said that meant it was working. After about two minutes everything was gone. I got pills to take at home and they worked okay. Not as fast.""",6
30,,"August 18, 2010",Azithromycin,10,"""Very good response. It is so useful for me. """,1
31,Depression,"May 7, 2011",Sertraline,8,"""1 week on Zoloft for anxiety and mood swings. I take 50mg in the mornings with my breakfast. Nausea on day one  but that subsided as the week went on.  I get the jitters about 2 hrs after taking it followed by yawning. I feel much better though and less angry/stressed.""",3
32,Pain,"February 11, 2013",Toradol,10,"""I am 30 years old. I had a multiple composite spinal injuries 15 years ago. The aches and pains unbearable. I started taking anti-inflammatories about 2 years ago. I started getting injections every month of Toradol and &quot;Depo&quot; something. I am almost off all pain meds I mean I still have bad days but I can function again.""",16
33,Vaginal Yeast Infection,"September 11, 2015",Tioconazole,1,"""The burning is out of control about 20 minutes after inserting it . Sat in the bath trying to get this stuff out . This is awful""",2
34,Irritable Bowel Syndrome,"July 5, 2016",Viberzi,8,"""Have been taking Viberzi for a month now for IBS-D and I can&#039;t be happier. I have ZERO side effects. Thank you for making me normal again!!!!!!""",15
35,Osteoarthritis,"May 13, 2015",Mobic,10,"""Reduced my pain by 80% and lets me live a normal life again!""",82
36,Constipation,"February 13, 2016",Dulcolax,1,"""SO MUCH PAIN! 
In the last 2 years I have suffered with a brain tumour so have been in a LOT of pain to the point of morphine everyday for a year. Then I had brain surgery...but the pain from this pill came pretty close!! In serious pain to the point of blacking out hot and cold shivers and just sat in pain feeling like trapped wind/indigestion it&#039;s just.. Ahhhh!!!! Don&#039;t take this!!!""",10
37,Pain,"May 8, 2010",Morphine,8,"""I have been on morphine for at least 7 years..It is the only medicine that seems to manage my pain. Without it I would be in bed 90% of the time. With it I can have a life.""",19
38,Bowel Preparation,"June 29, 2017",MoviPrep,2,"""I have taken this at least 5-6 times for the last 10 years. I have had major problems with it since the first time. Causing me MAJOR FATIGUE. The last time I took it was 3 year&#039;s ago and I had very severe cramps and not having enough time to get to the bathroom. I went to the hospital and the doctor said it didn&#039;t work good enough so he had me go home and do a second round. I went back the next day and did the process with no energy. I had to do it last night and it was even worse than the other times. I was gagging it down and up all night with severe cramps. I tried the second dose in the morning and I just about started throwing up so I called the office and they said to stop. Once the doctor was done he said it didn&#039;t evacuate enough""",0
39,Psychosis,"May 23, 2011",Trilafon,9,"""I had a similar experience.  Tremors in hands (not really noticeable to someone watching unless they were looking for it), but relief from the delusions I was experiencing. My problem has been going on for over 16 years so I anticipate it will not magically disappear (and it didn&#039;t) but the clarity of thinking I experience with this medicine really helps me.""",45
40,Vaginal Yeast Infection,"April 24, 2017",Fluconazole,8,"""I am very prone to yeast infections, I believe it&#039;s due to my birth control as well as having unprotected sex. Fluconazole has always cleared up my yeast infections with 2 doses. No side effects.""",9
41,Obesity,"November 4, 2015",Contrave,8,"""I am just finishing my second week taking Contrave and have lost 10 lbs. It has been an interesting experience because the drug is definitely not an appetite suppressant, yet it does help you control the urge to eat. I have had mild side effects - some stomach discomfort and slight headaches along with constipation, but it has all been easily manageable. If you are considering taking this medication please keep in mind that you still need to do the work by exercising and eating right, but the medication really does help. It has helped me get my motivation back to exercise, and it definitely helps with cravings to eat making it easy to just eat what I need to be healthy. Use the coupon they give you, it drops cost to $70""",9
42,Panic Disorde,"April 1, 2008",Clonazepam,9,"""This medication changed my life.  My panic attacks were so out of control I was barely able to leave the house.  Within 2 days, a moderate does of this changed me into a new person.  That was 15 years ago.  My dosage has never changed.""",30
43,Muscle Spasm,"June 4, 2014",Metaxalone,5,"""I have been taking this medicine due to lower back trouble.  When I first took it, it worked great, now all it does is put me to sleep.""",55
44,Depression,"April 27, 2016",Venlafaxine,4,"""my gp started me on Venlafaxine yesterday to help with depression and the change,a hour after taking them i was feeling very sick couldn,t stomach food or fluids, thought keep it up as she told me they did come with some side effects which would get better,took another one last night and was so ill i couldn,t stand ,being sick sweating shaking thought i was going to pass out. Did get some sleep hopeing to feel better this morning,took another one and felt so spaced out dry mouth shaking ,sick, so booked in to see gp again to make sure i should be feeling like this, only to find out she had put me on the wrong dose should have been on 37.5mg was put on 150mg, now on right dose hope this will be better""",3
45,Hepatitis C,"September 22, 2015",Ledipasvir / sofosbuvir,10,"""At initial testing my VL was over 6 million. I received my meds on saturday 2 days prior to testing to establish a baseline. I started when I received my pills. 2 days and 5 hours later I got my blood test to establish VL, I had taken 3 pills at this point and my VL was under 700.  VL @ 4 weeks was 0 . VL @ 8 weeks was 0 and @ 12 weeks was 0 .  2 weeks til my 1st EOT test. I feel cured. My side effects were next to nothing.""",0
46,Hepatitis C,"December 31, 2014",Ledipasvir / sofosbuvir,9,"""Side effects are light- fatigue and a bit of a headache. I did find it easier to take it an hour after dinner.  WAY better then the triple-threat approach.  My blood work does indicate that I am in the beggining stages of cirrhosis. I also had Hep B in 1994. 

So far, it&#039;s like a miracle.  Other than the fatigue (which is nothing if you&#039;ve suffered Jaundice or the &#039;Sickie&#039; symptoms that Hep C can cause), it&#039;s business as usual.""",94
47,Bipolar Disorde,"October 17, 2010",Symbyax,8,"""Helps against sadness, and strongly counters moderate urges to drink at a stressful, confusing time in my life.""",22
48,Overactive Bladde,"January 3, 2017",Tamsulosin,4,"""24 Year Old, Male, UK ,Normally I would go every hour, even when drinking very small amounts of water or drinks.

I took this medication for only two weeks, I noticed right away I would go less often to the toilet, and it was much easier to dispense the urine. 

Unfortunately I had to stop taking this as the medications side effects outweighed the benefits. I found that I would have incredibly intense mood swings, aggression, feel clumsy and dizzy all the time. Blurry vision. Memory problems or mind blanks. runny nose, weakness, tiredness.

I am now trying Betmiga.. lets see""",10
49,Urinary Tract Infection,"July 6, 2016",Doxycycline,7,"""I battled a nasty UTI for over a month &amp; went through 3 different antibiotics till my doctor finally gave me this one. Makes you terribly sick to your stomach but in the end is completely worth it!! Felt completely back to normal in 2 days!!""",44
50,"Diabetes, Type 2","October 24, 2017",Dulaglutide,10,"""Hey Guys,  It&#039;s been 4 months since my last post as I wanted to give it a few months to see how this was going to work.  So, I have been on Trulicity for six months now with Metformin.  When I hit the five month period the diarrhea, gas, sulphur belching finally subsided.  I now longer have any of those side effects.  However, I still haven&#039;t lost any weight at all, but I think that was because when I first started Trulicity I was taking it with Glimepiride and that one has a side effect of weight gain so I think the two meds were fighting each other lol.  I have been back on the Metformin with Trulicity for about a week now, so we will see what this does.  I was diagnosed as  stage 3 chronic kidney disease (CKD 3) so I am watching diet closely.""",24
51,ADHD,"July 21, 2011",Intuniv,1,"""Intuniv did not work for my son; he was bouncing off the walls while he was taking it, and having major issues in class! It seems to work the opposite on him!""",23
52,Pain,"June 24, 2011",Buprenorphine,8,"""My pain management doctor put me on Butrans patches about 6 weeks ago 5 mg dose. The first box of four was a lifesaver. No more agony at work. Able to sleep. Did more in two weekends than I had in two years. I&#039;m hoping to bump up to the ten mg dose soon to cut down on my Norco. I have had chronic pain for many years and have been through many medicines including Oxycontin. This patch is the best so far.""",125
53,"Asthma, Maintenance","November 15, 2015",Qvar,1,"""I got heart palpitations, really bad - like almost constant. I was taking the 40 mcg one puff twice a day. I switched to flovemt and all is well.""",16
54,Non-Small Cell Lung Cance,"March 2, 2017",Opdivo,1,"""My mother died from lung cancer. Her last hope of this medication. Within a couple months she was gone""",6
55,Schizophrenia,"September 25, 2016",Aripiprazole,10,"""Abilify 20 mg.
I am a patient diagnosed with disorganized schizophrenia, depression,  schizoaffective disorder, bipolar.  I have experienced a sensitivity to my emotions, as well as how I react to my feelings.  I really don&#039;t feel out of the normal with any &quot;sexual frustration&quot;...and I wouldn&#039;t say this has increased/decreased.  I feel less anxious on the medication, and seemingly more at ease with myself when I take this medication.  It is a hard step to have people telling you that you actually do better on this pill, when half your life ago, you didn&#039;t have &quot;mental illness&quot;, and suddenly you become someone else.   My weight did fluxuate when on this drug.  But I feel it was due to stress factors outside of a regular environment.  I feel if you place yourself in good surroundings and support you do much better at being the person you are here to be.  I am so much happier in life with a routine.  I feel like I only referred to enlongated periods of sleep because of depression, and events surrounding certain time frames hence thoughts, and reactions.
Abilify (aripiprazole) My instant reaction from this drug is concern for my well-being.  I am nervous because I am one of the people taking this drug till the stars fade, every day to my last.  My doctors all seem to say the same thing, and that is, &quot;This medication is working for you&quot;.  I do blood tests when I go into the Hospital freqently, and they are not finding anything off the charts and everything is always normal with my vitals. 
My thought is, how do they consider this medication works for me?  Because I am not showing side effects?  Because I am accepting?  I feel I have to hold patience, my own value, what I care about around me to help better myself mentally and my virtue.  I feel that I am just not the type of person to curbside answers to things we wonder deeply about, I guess.  
I don&#039;t know if there are any people who would agree then that I should ask if there are any women who have taken abilify during a pregnancy?  Just wondering what the reaction is...  Is my question?  I am a 30 year old female diagnosed with Mental Illness starting in 2004.  I started to take Abilify 20 mg. in 2004 to present.  Overall, since this medication has not been threatening to me, I feel I should embrace it.""",26
56,Dysuria,"October 13, 2016",Pyridium,1,"""I&#039;ve been having UTIs for 7 years, my most recent one has lasted 24 days so far. Because of this I went to the doctor and they prescribed me pyridium twice a day. I was very hopeful but unfortunately it didn&#039;t work. The burning while urinating is still there and I&#039;ve been on it for three days so far. Also discomfort all hours of the day down there. It may work well for others but my body doesn&#039;t accept it, it did nothing. Going to the doctor was useless, go straight to the urologist""",8
57,Bipolar Disorde,"February 20, 2012",Latuda,8,"""I have had great experience so far with Latuda. I started taking 40 mg in Nov., and it worked great for about a week, then I crashed again. Dr. put it up to 80 mg and I&#039;ve been great ever since. I&#039;m afraid, though, because my sex drive has completely disappeared, and if it&#039;s the Latuda, I&#039;m going to have to go off it-and I hate to go off something that&#039;s working so well. However, I&#039;m also on a pretty high dose of Lexapro, and the Dr. thinks it&#039;s more likely to be a side effect of that, so we&#039;re decreasing that and hopefully that will work, because otherwise I&#039;m feeling really good. I&#039;m really afraid I&#039;ll have to go off it.""",39
58,Smoking Cessation,"August 22, 2014",Bupropion,10,"""Love this, no mouth sores, or ulcers like Wellbutrin gave me. I COMPLETELY QUIT SMOKING...this works.""",15
59,Birth Control,"August 20, 2015",Implanon,2,"""Never again! After being on depo I was suppose to b an ideal candidate the first 6 months was ok bit moody but fine no weight gain but then something changed I was constantly bleeding and getting horrible hormone spots I normally have clear skin mood swings were increasing. After 14 months I decided to have it taken out and that was an ordeal they can b very tricky for the doc remove. So 3 anesthetics and a few stitches later its out. It&#039;s simply not worth the hassle""",1
60,Anxiety,"December 27, 2016",Effexor XR,6,"""Was on this med for 5 years. Worked fine but not great. Stopped the panic attacks and gave me relief of every day nervousness that I was experiencing. Took months for the side effects to diminish when I first started taking it. What did not leave - insomnia, night sweats, lack of sex drive and poor orgasms (or no orgasms at all).""",23
61,Birth Control,"April 11, 2011",Drospirenone / ethinyl estradiol,3,"""I was put on Yasmin for 6 months to regulate my cycle and reduce acne flare-ups and it was the worst 6 months of my life. I gained 20lbs that did NOT come off easily after stopping the pill, experienced horrible mood swings, had HEAVIER periods, acne breakouts, breakthrough bleeding, and I was nauseous all the time. This pill seems to agree with most people but it definitely did not agree with me. I went on Femcon a year after stopping Yasmin and experienced virtually no side effects.""",8
62,Pain,"August 6, 2015",Buprenorphine,10,"""I love my Butrans patch!!! And it has relieved more than half of my pain, and I know this because I only have to take less than half of my pain killers now that I am on the patch! I change my patch every Saturday, but if I miss 24 hours my pain starts to reside again. If you are not a heavy drinker I would advise trying this patch!!!""",47
63,Birth Control,"September 1, 2011",Implanon,1,"""I have been on this for 8 months and sad to say it&#039;s caused nothing but my self esteem to become lower. I&#039;ve gained 10 lbs out of no where. I&#039;m only 22 and have a fast metabolism. I thought it started to slow down but it didn&#039;t make sense. My breasts got smaller, I have lost complete sex drive, my breasts aren&#039;t sensitive anymore at all like they used to be and I&#039;m so emotional, even crying at times. The only thing I can say is that it is 100% effective but not worth what it has done to my body. Not only that but I started breaking out on my body and on my face as well.""",2
64,Birth Control,"April 18, 2013",NuvaRing,5,"""I was off birth control for a while considering getting pregnant. I had used other types of birth control before, the pill, the patch, etc. I decided to get back on birth control but didn&#039;t want to worry about taking a daily pill so I requested the Nuvaring. When I started the Nuvaring I felt it inside my body and had a lot of cramps. A few days later I started experiencing more cramps and very strong upper stomach pain. They were so bad I missed work for a week. Finally I ended up going to the ER and they couldn&#039;t figure out what was wrong. I finally asked the doctor and it was the Nuvaring side effects.""",9
65,Bowel Preparation,"March 14, 2015",Prepopik,9,"""I took the Prepopik for my first colonoscopy (I&#039;m 25) and I found it to be very effective. The orange flavor was very tolerable. I had no bad cramps or terrible side effects with it, but I had taken magnesium citrate the night before and that had already cleaned me out somewhat. My only issue was I ended up so dehydrated that I showed up to my colonoscopy with a fever. Try to drink as much fluid as you can with this prep! I drank plenty, but there was more liquid coming out of me than going in. Overall, I would recommend the Prepopik. On a side note, my insurance didn&#039;t cover it, but the office I go to had it available. I recommend asking your office if they have it available if insurance won&#039;t cover it at the pharmacy.""",6
66,Acne,"November 4, 2015",Tretinoin,10,"""I just hit my three month point on tretinoin .05% and I&#039;m so happy. I was really  depressed about my skin during the first two months because I&#039;ve never had bad acne and the cream made me have horrible acne. But I knew that was the worst part of it and after that was over I would be fine. I&#039;ve inly had two zits since then and I&#039;m only left with scars which is fine. Try it out even if you&#039;re scared because I was too and I&#039;m so glad i did. It&#039;s worth it!""",13
67,Depression,"June 20, 2013",Effexor XR,10,"""This medicine saved my life. I was at my wits end with anti-depressants and was ready to give up. My doctor finally prescribed me this after many failed medications, I am so glad she did. I honestly do not know where I would be without Effexor XR. Side effects were very mild compared to other anti-depressants I tried. I was drowsy for the first couple days, but it was tolerable. I highly recommend this for severe depression. I would also like to mention for people to realize there is light at the end of the tunnel and YOU WILL GET BETTER, and to never give up.""",166
68,Birth Control,"September 21, 2016",Gildess Fe 1 / 20,2,"""it caused me to gain 30 pounds""",2
69,Acne,"November 3, 2015",Ethinyl estradiol / norgestimate,9,"""Best treatment for acne I have used! I&#039;ve gone through accutane, many face washes, retinol creams, and other forms of birth control. Some other forms of birth control just make acne worse, depending on the type of progestin in it. You need the least androgenic type possible, and sprintec has worked the best for me! Nearly clear skin. Takes about 5-6 months to fully work, but it does work.""",7
